14D,1414 DEGREES LIMITED,0.075, 
1AD,ADALTA LIMITED,0.055, 
1AE,AURORA ENERGY METALS LIMITED,0.205, 
1AG,ALTERRA LIMITED ,0.017, 
1MC,MORELLA CORPORATION LIMITED ,0.017, 
1ST,1ST GROUP LIMITED ,0.005, 
1VG,VICTORY GOLDFIELDS LIMITED,0.1, 
29M,29METALS LIMITED,1.735, 
2BE,TUBI LIMITED,0.049, 
360,LIFE360 INC.,2.84, 
3DA,AMAERO INTERNATIONAL LTD,0.165, 
3DP,POINTERRA LIMITED ,0.24, 
3MF,3D METALFORGE LIMITED ,0.013, 
3PL,3P LEARNING LIMITED.. ,1.235, 
4DS,4DS MEMORY LIMITED,0.07, 
4DX,4DMEDICAL LIMITED ,0.59, 
5EA,5E ADVANCED MATERIALS INC.,1.835, 
5GG,PENTANET LIMITED,0.27, 
88E,88 ENERGY LIMITED ,0.008, 
8CO,8COMMON LIMITED ,0.11, 
8IH,8I HOLDINGS LTD ,0.081, 
8VI,8VI HOLDINGS LIMITED,1.35, 
92E,92 ENERGY LIMITED ,0.45, 
99L,99 LOYALTY LIMITED. ,0.025, 
9SP,9 SPOKES INTERNATIONAL LIMITED,0.004, 
A1G,AFRICAN GOLD LTD. ,0.094, 
A1M,AIC MINES LIMITED ,0.55, 
A2B,A2B AUSTRALIA LIMITED ,1.1, 
A2M,THE A2 MILK COMPANY LIMITED ,4.39, 
A3D,AURORA LABS LIMITED ,0.038, 
A4N,ALPHA HPA LIMITED ,0.415, 
A8G,AUSTRALASIAN METALS LIMITED ,0.2, 
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,2.16, 
AAJ,ARUMA RESOURCES LIMITED ,0.064, 
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,0.024, 
AAR,ASTRAL RESOURCES NL ,0.07, 
AAU,ANTILLES GOLD LIMITED ,0.061, 
ABA,AUSWIDE BANK LTD,6.09, 
ABB,AUSSIE BROADBAND LIMITED,3.31, 
ABC,ADBRI LIMITED ,2.42, 
ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED ,0.22, 
ABV,ADVANCED BRAKING TECHNOLOGY LTD ,0.026, 
ABX,ABX GROUP LIMITED ,0.14, 
ABY,ADORE BEAUTY GROUP LIMITED,1.05, 
AC8,AUSCANN GROUP HOLDINGS LTD,0.037, 
ACB,A-CAP ENERGY LIMITED,0.063, 
ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,0.505, 
ACL,AUSTRALIAN CLINICAL LABS LIMITED,4.59, 
ACP,AUDALIA RESOURCES LIMITED ,0.012, 
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED ,1.08, 
ACR,ACRUX LIMITED ,0.053, 
ACS,ACCENT RESOURCES NL ,0.046, 
ACU,ACUMENTIS GROUP LIMITED ,0.095, 
ACW,ACTINOGEN MEDICAL LIMITED ,0.05, 
AD1,AD1 HOLDINGS LIMITED,0.012, 
AD8,AUDINATE GROUP LIMITED,7.54, 
ADA,ADACEL TECHNOLOGIES LIMITED ,0.84, 
ADD,ADAVALE RESOURCES LIMITED ,0.021, 
ADH,ADAIRS LIMITED,1.91, 
ADN,ANDROMEDA METALS LIMITED,0.07, 
ADO,ANTEOTECH LTD ,0.065, 
ADR,ADHERIUM LIMITED,0.007, 
ADS,ADSLOT LTD. ,0.012, 
ADT,ADRIATIC METALS PLC ,1.95, 
ADV,ARDIDEN LTD ,0.007, 
ADX,ADX ENERGY LTD,0.008, 
ADY,ADMIRALTY RESOURCES NL. ,0.011, 
AE1,AERISON GROUP LTD ,0.11, 
AEE,AURA ENERGY LIMITED ,0.18, 
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED ,4.66, 
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,0.85, 
AEI,AERIS ENVIRONMENTAL LTD ,0.048, 
AER,AEERIS LTD,0.13, 
AEV,AVENIRA LIMITED ,0.009, 
AFA,ASF GROUP LIMITED ,0.05, 
AFG,AUSTRALIAN FINANCE GROUP LTD,1.51, 
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,7.51, 
AFL,AF LEGAL GROUP LTD,0.38, 
AFP,AFT PHARMACEUTICALS LIMITED ,3.35, 
AFW,APPLYFLOW LIMITED ,0.002, 
AGC,AUSTRALIAN GOLD AND COPPER LTD,0.07, 
AGD,AUSTRAL GOLD LIMITED,0.042, 
AGE,ALLIGATOR ENERGY LIMITED,0.049, 
AGENE,ALLIGATOR ENERGY LIMITED,-, 
AGG,ANGLOGOLD ASHANTI LIMITED ,4.34, 
AGH,ALTHEA GROUP HOLDINGS LIMITED ,0.059, 
AGI,AINSWORTH GAME TECHNOLOGY LIMITED ,0.96, 
AGL,AGL ENERGY LIMITED. ,8.25, 
AGN,ARGENICA THERAPEUTICS LIMITED ,0.43, 
AGR,AGUIA RESOURCES LIMITED ,0.069, 
AGS,ALLIANCE RESOURCES LIMITED,0.175, 
AGY,ARGOSY MINERALS LIMITED ,0.36, 
AHC,AUSTCO HEALTHCARE LIMITED ,0.1, 
AHI,ADVANCED HUMAN IMAGING LTD,0.12, 
AHK,ARK MINES LIMITED ,0.175, 
AHN,ATHENA RESOURCES LIMITED,0.019, 
AHQ,ALLEGIANCE COAL LIMITED ,0.48, 
AHX,APIAM ANIMAL HEALTH LIMITED ,0.685, 
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,6.48, 
AII,ALMONTY INDUSTRIES INC. ,0.95, 
AIM,AI-MEDIA TECHNOLOGIES LIMITED ,0.245, 
AIS,AERIS RESOURCES LIMITED ,0.067, 
AIV,ACTIVEX LIMITED ,0.03, 
AIZ,AIR NEW ZEALAND LIMITED ,0.505, 
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,0.038, 
AJL,AJ LUCAS GROUP LIMITED,0.054, 
AJQ,ARMOUR ENERGY LIMITED ,0.006, 
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED ,0.024, 
AJY,ASAPLUS RESOURCES LIMITED ,0.015, 
AKE,ALLKEM LIMITED,10.31, 
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED ,0.27, 
AKM,ASPIRE MINING LIMITED ,0.083, 
AKN,AUKING MINING LIMITED ,0.074, 
AKO,AKORA RESOURCES LIMITED ,0.18, 
AKP,AUDIO PIXELS HOLDINGS LIMITED ,17.8, 
AL3,AML3D LIMITED ,0.052, 
AL8,ALDERAN RESOURCES LIMITED ,0.011, 
ALA,AROVELLA THERAPEUTICS LIMITED ,0.023, 
ALB,ALBION RESOURCES LIMITED,0.078, 
ALC,ALCIDION GROUP LIMITED,0.11, 
ALD,AMPOL LIMITED ,34.23, 
ALG,ARDENT LEISURE GROUP LIMITED,1.4, 
ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED ,2.32, 
ALK,ALKANE RESOURCES LIMITED,0.62, 
ALL,ARISTOCRAT LEISURE LIMITED,34.38, 
ALM,ALMA METALS LIMITED ,0.01, 
ALO,ALLOGGIO GROUP LIMITED,0.125, 
ALQ,ALS LIMITED ,10.68, 
ALT,ANALYTICA LIMITED ,0.001, 
ALU,ALTIUM LIMITED,26.91, 
ALV,ALVO MINERALS LIMITED ,0.22, 
ALX,ATLAS ARTERIA ,8.06, 
ALY,ALCHEMY RESOURCES LIMITED ,0.012, 
AM7,ARCADIA MINERALS LIMITED,0.155, 
AMA,AMA GROUP LIMITED ,0.17, 
AMC,AMCOR PLC ,18.04, 
AMD,ARROW MINERALS LTD,0.002, 
AME,ALTO METALS LIMITED ,0.07, 
AMH,AMCIL LIMITED ,1.075, 
AMI,AURELIA METALS LIMITED,0.255, 
AML,AEON METALS LIMITED.,0.02, 
AMM,ARMADA METALS LIMITED ,0.061, 
AMN,AGRIMIN LIMITED ,0.4, 
AMO,AMBERTECH LIMITED ,0.27, 
AMP,AMP LIMITED ,0.955, 
AMS,ATOMOS LIMITED,0.19, 
AMT,ALLEGRA ORTHOPAEDICS LIMITED,0.16, 
AMX,AEROMETREX LIMITED,0.3, 
AN1,ANAGENICS LIMITED ,0.023, 
AND,ANSARADA GROUP LIMITED,1.615, 
ANG,AUSTIN ENGINEERING LIMITED,0.233, 
ANL,AMANI GOLD LIMITED,0.001, 
ANN,ANSELL LIMITED,22.24, 
ANO,ADVANCE ZINCTEK LIMITED ,2.02, 
ANP,ANTISENSE THERAPEUTICS LIMITED,0.076, 
ANR,ANATARA LIFESCIENCES LTD,0.055, 
ANW,AUS TIN MINING LTD,0.001, 
ANX,ANAX METALS LIMITED ,0.077, 
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED ,22.03, 
AO1,ASSETOWL LIMITED,0.002, 
AOA,AUSMON RESOURCES LIMITED,0.006, 
AON,APOLLO MINERALS LIMITED ,0.053, 
AOU,AUROCH MINERALS LTD ,0.055, 
APC,AUSTRALIAN POTASH LIMITED ,0.045, 
APE,EAGERS AUTOMOTIVE LIMITED ,9.72, 
