AZZG,ANTARES ENERGY LIMITED,1.92, 
CGNG,CRATER GOLD MINING LIMITED,20, 
CGRG,CML GROUP LIMITED ,1.12, 
CTNG,CONTANGO MICROCAP LIMITED ,100.25, 
HGOG,HILLGROVE RESOURCES LIMITED ,2.48, 
IANG,IAG FINANCE (NEW ZEALAND) LIMITED ,103.4, 
KBLGA,KBL MINING LIMITED,0.1, 
LKOGB,LAKES OIL NL,8, 
NFNG,NUFARM FINANCE (NZ) LIMITED ,86.21, 
RSGG,RESOLUTE MINING LIMITED ,1, 
SKSG,STOKES LIMITED,0.3, 
88EO,88 ENERGY LIMITED ,0.037, 
ADNOA,ANDROMEDA METALS LIMITED,0.002, 
AEGO,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,0.02, 
AGEO,ALLIGATOR ENERGY LIMITED,0.006, 
AGOOA,ATLAS IRON LIMITED,0.001, 
ALTOA,ANALYTICA LIMITED ,0.001, 
ANLO,AMANI GOLD LIMITED,0.002, 
ANPOB,ANTISENSE THERAPEUTICS LIMITED,0.01, 
AO1O,ASSETOWL LIMITED,0.05, 
AO1OA,ASSETOWL LIMITED,0.017, 
AOWOA,AMERICAN PATRIOT OIL & GAS LIMITED,0.001, 
APLO,ANTIPODES GLOBAL INVESTMENT COMPANY LTD ,0.14, 
AQDOA,AUSQUEST LIMITED,0.001, 
AQXO,ALICE QUEEN LIMITED ,0.014, 
ARCO,AUSTRALIAN RURAL CAPITAL LIMITED,0.14, 
ARDO,ARGENT MINERALS LIMITED ,0.008, 
ARVO,ARTEMIS RESOURCES LIMITED ,0.046, 
ASNOA,ANSON RESOURCES LIMITED ,0.001, 
AU1O,AUSNET FINANCIAL SERVICES LIMITED ,0.004, 
AUROA,AURIS MINERALS LIMITED,0.002, 
AUROB,AURIS MINERALS LIMITED,0.003, 
AVIO,AVALON MINERALS LIMITED ,0.004, 
AVLO,AUSTRALIAN VANADIUM LIMITED ,0.007, 
AVQO,AXIOM MINING LIMITED,0.023, 
AVZO,AVZ MINERALS LIMITED,0.021, 
BASO,BASS OIL LIMITED,0.001, 
BHDO,BENJAMIN HORNIGOLD LIMITED,0.19, 
BIDO,BIDENERGY LIMITED ,0.008, 
BIGO,BIG UN LIMITED,0.975, 
BITOA,BIOTRON LIMITED ,0.003, 
BKTOD,BLACK ROCK MINING LIMITED ,0.035, 
BMGOA,BMG RESOURCES LIMITED ,0.004, 
BPLO,BROKEN HILL PROSPECTING LIMITED ,0.004, 
