1PG,1-PAGE LIMITED,1.94, 
1ST,1ST AVAILABLE LTD,0.135, 
3DM,3D MEDICAL LIMITED,0.115, 
3PL,3P LEARNING LIMITED..,2.22, 
88E,88 ENERGY LIMITED,0.014, 
8CO,8COMMON LIMITED,0.22, 
8IH,8I HOLDINGS LTD,0.86, 
A2M,THE A2 MILK COMPANY LIMITED,0.64, 
AAA,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF,50.18, 
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,1.235, 
AACKOA,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.325, 
AACKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-, 
AAD,ARDENT LEISURE GROUP,2.17, 
AADKOB,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.82, 
AADKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.505, 
AADKOP,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.64, 
AADKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.59, 
AAI,ALCOA INC.                                                  ,18.98, 
AAJ,ARUMA RESOURCES LIMITED,0.007, 
AAK,AUSTRALIA CHINA HOLDINGS LIMITED,0.001, 
AAL,APAC COAL LIMITED,0.003, 
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,0.012, 
AAR,ANGLO AUSTRALIAN RESOURCES NL,0.007, 
AAT,AAT CORPORATION LIMITED,-, 
AAU,ADCORP AUSTRALIA LIMITED                                    ,0.036, 
AAX,AUSENCO LIMITED,0.25, 
AB1,ANIMOCA BRANDS CORPORATION LIMITED,0.17, 
ABA,AUSWIDE BANK LTD,5.05, 
ABC,ADELAIDE BRIGHTON LIMITED,4.31, 
ABCKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.535, 
ABCKOE,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),0.995, 
