AFIG,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,109, 
AZZG,ANTARES ENERGY LIMITED,1.92, 
CGNG,CRATER GOLD MINING LIMITED,23, 
CGRG,CML GROUP LIMITED ,1, 
CTNG,CONTANGO MICROCAP LIMITED ,100, 
IANG,IAG FINANCE (NEW ZEALAND) LIMITED ,100, 
KBLGA,KBL MINING LIMITED,0.225, 
LKOGA,LAKES OIL NL,6.5, 
NFNG,NUFARM FINANCE (NZ) LIMITED ,83.5, 
RSGG,RESOLUTE MINING LIMITED ,1, 
SKSG,STOKES LIMITED,0.45, 
88EO,88 ENERGY LIMITED ,0.022, 
8ECO,8IP EMERGING COMPANIES LIMITED,0.03, 
ABVO,ADVANCED BRAKING TECHNOLOGY LTD ,0.002, 
ADNO,ADELAIDE RESOURCES LIMITED,0.002, 
AEEOA,AURA ENERGY LIMITED ,0.004, 
AEGO,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,0.14, 
AGOO,ATLAS IRON LIMITED,0.001, 
AGOOA,ATLAS IRON LIMITED,-, 
AKKO,AUSTIN EXPLORATION LIMITED,0.002, 
AKMO,ASPIRE MINING LIMITED ,0.009, 
ALIO,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED ,0.012, 
ALTOA,ANALYTICA LIMITED ,0.003, 
ANPO,ANTISENSE THERAPEUTICS LIMITED,0.002, 
AOWO,AMERICAN PATRIOT OIL & GAS LIMITED,0.006, 
AOWOA,AMERICAN PATRIOT OIL & GAS LIMITED,0.009, 
AQDO,AUSQUEST LIMITED,0.002, 
AQDOA,AUSQUEST LIMITED,0.006, 
ARCO,AUSTRALIAN RURAL CAPITAL LIMITED,0.16, 
AREO,ARGONAUT RESOURCES NL ,0.004, 
ARVOA,ARTEMIS RESOURCES LIMITED ,0.002, 
ARVOB,ARTEMIS RESOURCES LIMITED ,0.001, 
AUQO,ALARA RESOURCES LIMITED ,0.01, 
AVDOB,ANTILLES OIL AND GAS NL ,0.005, 
AVLO,AUSTRALIAN VANADIUM LIMITED ,0.005, 
AYCO,A1 CONSOLIDATED GOLD LIMITED,0.006, 
BGGO,BLACKGOLD INTERNATIONAL HOLDINGS LIMITED,0.017, 
BIGO,BIG UN LIMITED,0.01, 
BITO,BIOTRON LIMITED ,0.005, 
BKTOC,BLACK ROCK MINING LIMITED ,0.025, 
BKTOD,BLACK ROCK MINING LIMITED ,0.01, 
BMLOB,BOTSWANA METALS LIMITED ,0.001, 
BPLO,BROKEN HILL PROSPECTING LIMITED ,0.03, 
BRKO,BROOKSIDE ENERGY LIMITED,0.002, 
BSNO,BISAN LIMITED ,0.001, 
BSPO,BLACK STAR PETROLEUM LIMITED,0.001, 
BSTO,BARRACK ST INVESTMENTS LIMITED,0.004, 
BYRO,BUREY GOLD LIMITED,0.016, 
CAYOA,CANYON RESOURCES LIMITED,0.05, 
CBCO,CBG CAPITAL LIMITED ,0.001, 
CBSO,CABRAL RESOURCES LIMITED,0.006, 
CDVOA,CARDINAL RESOURCES LIMITED,0.16, 
CDYO,CELLMID LIMITED ,0.007, 
CIEO,CONTANGO INCOME GENERATORLIMITED,0.005, 
CIZOA,CORIZON LIMITED ,0.006, 
CL8O,COLLABORATE CORPORATION LIMITED ,0.007, 
CLYO,CLANCY EXPLORATION LIMITED,0.001, 
CMCO,CHINA MAGNESIUM CORPORATION LIMITED ,-, 
CMYO,CAPITAL MINING LIMITED,0.003, 
CNXO,CARBON ENERGY LIMITED ,0.001, 
CTMO,CENTAURUS METALS LIMITED,0.002, 
CTROA,CITATION RESOURCES LTD,0.012, 
CVEO,COVER-MORE GROUP LIMITED,-, 
CXOOA,CORE EXPLORATION LIMITED,0.01, 
CXZO,CONNEXION MEDIA LIMITED ,0.011, 
CYLO,CATALYST METALS LIMITED ,0.2, 
CZLO,CONSOLIDATED ZINC LIMITED ,0.002, 
DAFO,DISCOVERY AFRICA LIMITED,0.001, 
DMIOA,DEMPSEY MINERALS LIMITED,0.01, 
DRKOB,DRAKE RESOURCES LIMITED ,0.001, 
DROO,DRONESHIELD LIMITED ,0.07, 
EAIO,ELLERSTON ASIAN INVESTMENTS LIMITED ,0.017, 
EDEO,EDEN ENERGY LIMITED ,0.205, 
EGIO,ELLERSTON GLOBAL INVESTMENTS LIMITED,0.05, 
EGOO,EMPIRE OIL & GAS NL ,0.035, 
ELKO,ELK PETROLEUM LIMITED ,0.008, 
ERJO,ENERJI LTD,0.001, 
ESIOA,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED,0.007, 
ESIOB,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED,0.004, 
EXRO,ELIXIR PETROLEUM LIMITED,0.001, 
EYMOB,ELYSIUM RESOURCES LIMITED ,-, 
FCGO,FRONTIER CAPITAL GROUP LIMITED,-, 
FFGO,FATFISH INTERNET GROUP LTD,0.001, 
FGFOA,FIRST GROWTH FUNDS LIMITED,0.005, 
FGGO,FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED ,0.02, 
FGROA,FIRST GRAPHITE LIMITED,0.009, 
FGROB,FIRST GRAPHITE LIMITED,0.045, 
FGXO,FUTURE GENERATION INVESTMENT COMPANY LIMITED,0.021, 
FTZO,FERTOZ LIMITED,0.03, 
GC1O,GLENNON SMALL COMPANIES LIMITED ,0.002, 
GGGOB,GREENLAND MINERALS AND ENERGY LIMITED ,0.006, 
GLAOA,GLADIATOR RESOURCES LIMITED ,0.001, 
GMCO,GULF MANGANESE CORPORATION LIMITED,0.002, 
GPHO,GOLDPHYRE RESOURCES LIMITED ,0.03, 
GSCOA,GLOBAL GEOSCIENCE LIMITED ,0.015, 
HAVO,HAVILAH RESOURCES LIMITED ,0.14, 
HMLO,HENRY MORGAN LIMITED,0.1, 
HPRO,HIGH PEAK ROYALTIES LIMITED ,0.001, 
HZRO,HAZER GROUP LIMITED ,0.26, 
ICIO,ICANDY INTERACTIVE LIMITED,0.015, 
ICTO,ICOLLEGE LIMITED,0.002, 
IMIO,IM MEDICAL LTD,-, 
IMIOA,IM MEDICAL LTD,-, 
IMUO,IMUGENE LIMITED ,0.002, 
INKO,INDAGO ENERGY LIMITED ,0.002, 
IRCO,INTERMIN RESOURCES LIMITED,0.04, 
IVOO,INVIGOR GROUP LIMITED ,0.01, 
IVRO,INVESTIGATOR RESOURCES LTD,0.008, 
KABOA,KABOKO MINING LIMITED ,0.001, 
KBUO,KABUNI LTD,0.035, 
KDRO,KIDMAN RESOURCES LIMITED,0.053, 
KFEO,KOGI IRON LIMITED ,0.003, 
KRCOA,KING RIVER COPPER LIMITED ,0.001, 
KTAOA,KRAKATOA RESOURCES LIMITED,0.02, 
LCKO,LEIGH CREEK ENERGY LIMITED,0.004, 
LCROA,LACONIA RESOURCES LIMITED ,0.001, 
LHBO,LIONHUB GROUP LIMITED ,0.02, 
LINO,LINDIAN RESOURCES LIMITED ,0.002, 
LNUOA,LINIUS TECHNOLOGIES LIMITED ,0.026, 
LOMOA,LUCAPA DIAMOND COMPANY LIMITED,0.26, 
LRSO,LATIN RESOURCES LIMITED ,0.006, 
MA1O,MONASH ABSOLUTE INVESTMENT COMPANY LIMITED,0.025, 
MEPO,MINOTAUR EXPLORATION LTD,0.05, 
MFFO,MAGELLAN FLAGSHIP FUND LIMITED,0.86, 
MIZOA,MINERA GOLD LIMITED ,0.001, 
MJCO,MEJORITY CAPITAL LIMITED,-, 
MLMO,METALLICA MINERALS LIMITED,0.007, 
MNMOC,MANTLE MINING CORPORATION LIMITED ,0.006, 
MNQO,MINQUEST LIMITED,0.004, 
MNSO,MAGNIS RESOURCES LIMITED. ,0.875, 
MNYO,MONEY3 CORPORATION LIMITED,0.15, 
MODO,MOD RESOURCES LIMITED ,0.016, 
MRQO,MRG METALS LIMITED,0.001, 
MRQOA,MRG METALS LIMITED,0.004, 
MSGOA,MCS SERVICES LIMITED,-, 
MSVO,MITCHELL SERVICES LIMITED ,0.001, 
MTAO,METALS OF AFRICA LIMITED,0.012, 
MUMOA,MOUNT MAGNET SOUTH LIMITED,0.001, 
MUSO,MUSTANG RESOURCES LIMITED ,0.008, 
MZNO,MARINDI METALS LIMITED,0.002, 
NACO,NAOS ABSOLUTE OPPORTUNITIES COMPANY LIMITED ,0.018, 
